ID,MP/PS/Student,Legal background?
AB1,PS,n
BAK1,PS,y
AB3,PS,y
ABK1,PS,n
ABK2,PS,y
ABK5,PS,n
BAK7,PS,y
3_ABK15,PS,n
BAK2,MP,n
BAK3,MP,n
ABK3,MP,y
BAK4,MP,n
ABK4,MP,n
BAK5,MP,n
BAK6,MP,y
ABK6,MP,y
3_ABK13,Student-public_admin,
2_BAK14,Student-public_admin,
2_ABK12,Student-public_admin,
2_BAK12,Student-public_admin,
3_BAK12,Student-public_admin,
2_ABK13,Student-public_admin,
3_BAK13,Student-public_admin,
2_BAK13,Student-public_admin,
1_ABK12,Student-public_admin,
1_BAK13,Student-public_admin,
1_BAK12,Student-public_admin,
1_ABK14,Student-public_admin,
3_ABK12,Student-public_admin,
1_BAK14,Student-public_admin,
1_ABK13,Student-public_admin,
3_BAK6,Student-BSc_comp_science,
2_ABK5,Student-BSc_comp_science,
2_BAK10,Student-BSc_comp_science,
2_ABK10,Student-BSc_comp_science,
3_BAK11,Student-BSc_comp_science,
1_BAK10,Student-BSc_comp_science,
3_BAK10,Student-BSc_comp_science,
3_ABK11,Student-BSc_comp_science,
3_ABK9,Student-BSc_comp_science,
2_BAK9,Student-BSc_comp_science,
3_ABK10,Student-BSc_comp_science,
2_BAK7,Student-BSc_comp_science,
2_ABK9,Student-BSc_comp_science,
1_BAK11,Student-BSc_comp_science,
1_ABK11,Student-BSc_comp_science,
1_ABK10,Student-BSc_comp_science,
1_BAK9,Student-BSc_comp_science,
1_ABK9,Student-BSc_comp_science,
2_BAK11,Student-BSc_comp_science,
2_ABK11,Student-BSc_comp_science,
1_BAK8,Student-MSc_comp_science,
1_ABK7,Student-MSc_comp_science,
1_BAK5,Student-MSc_comp_science,
1_BAK6,Student-MSc_comp_science,
1_ABK5,Student-MSc_comp_science,
1_BAK7,Student-MSc_comp_science,
2_ABK6,Student-MSc_comp_science,
2_BAK5,Student-MSc_comp_science,
3_BAK8,Student-MSc_comp_science,
1_ABK6,Student-MSc_comp_science,
2_ABK8,Student-MSc_comp_science,
2_ABK9,Student-MSc_comp_science,
2_ABK7,Student-MSc_comp_science,
3_ABK7,Student-MSc_comp_science,
2_BAK6,Student-MSc_comp_science,
2_BAK8,Student-MSc_comp_science,
1_ABK8,Student-MSc_comp_science,
3_ABK5,Student-MSc_comp_science,
3_ABK8,Student-MSc_comp_science,
3_BAK7,Student-MSc_comp_science,
3_ABK6,Student-MSc_comp_science,
3_BAK5,Student-MSc_comp_science,
