Participant ID;Answer Number;Word/Answer;Which section;Question;For OT: level
3_ABK16;1;vorsätzlich;NL-3;OT;OT: Medium
3_ABK16;2;in Kauf;NL-3;OT;OT: High
3_ABK16;3;nach den Umständen;NL-3;OT;OT: High
3_ABK16;4;persönlichen Verhältnissen;NL-3;OT;OT: High
3_ABK16;1;anders;NL-3;Cloze;
3_ABK16;2;strafbar;NL-3;Cloze;
3_ABK16;3;Vergehen;NL-3;Cloze;
3_ABK16;4;Verbrechen;NL-3;Cloze;
3_ABK16;5;Tat;NL-3;Cloze;
3_ABK16;6;begeht;NL-3;Cloze;
3_ABK16;7;der;NL-3;Cloze;
3_ABK16;8;möglich;NL-3;Cloze;
3_ABK16;9;nimmt;NL-3;Cloze;
3_ABK16;10;Vergehen;NL-3;Cloze;
3_ABK16;11;Handelns;NL-3;Cloze;
3_ABK16;12;bedenkt;NL-3;Cloze;
3_ABK16;13;nimmt;NL-3;Cloze;
3_ABK16;14;wenn;NL-3;Cloze;
3_ABK16;15;nicht;NL-3;Cloze;
3_ABK16;16;unter;NL-3;Cloze;
3_ABK16;17;seinem;NL-3;Cloze;
3_ABK16;1;2;SUS-NL;;
3_ABK16;2;4;SUS-NL;;
3_ABK16;3;2;SUS-NL;;
3_ABK16;4;1;SUS-NL;;
3_ABK16;5;4;SUS-NL;;
3_ABK16;6;3;SUS-NL;;
3_ABK16;7;4;SUS-NL;;
3_ABK16;8;2;SUS-NL;;
3_ABK16;9;3;SUS-NL;;
3_ABK16;1;5;Distraction task;;
3_ABK16;1;glaubt, dass eine Tat möglich;CL-3;OT;OT: High
3_ABK16;2;Möglichkeit der Tat akzeptiert;CL-3;OT;OT: High
3_ABK16;3;unvorsichtig;CL-3;OT;OT: High
3_ABK16;4;verabsäumt;CL-3;OT;OT: High
3_ABK16;5;Konsequenzen des Verhaltens einzuschätzen oder diese ignoriert;CL-3;OT;OT: High
3_ABK16;6;Situation entsprechende Sorgfalt;CL-3;OT;OT: High
3_ABK16;1;Verbrechen;CL-3;Cloze;
3_ABK16;2;dieses;CL-3;Cloze;
3_ABK16;3;kann;CL-3;Cloze;
3_ABK16;4;werden;CL-3;Cloze;
3_ABK16;5;Vergehen;CL-3;Cloze;
3_ABK16;6;dieses;CL-3;Cloze;
3_ABK16;7;kann;CL-3;Cloze;
3_ABK16;8;werden;CL-3;Cloze;
3_ABK16;9;beabsichtigt;CL-3;Cloze;
3_ABK16;10;will;CL-3;Cloze;
3_ABK16;11;bewusst;CL-3;Cloze;
3_ABK16;12;Verbrechen;CL-3;Cloze;
3_ABK16;13;sich;CL-3;Cloze;
3_ABK16;14;es;CL-3;Cloze;
3_ABK16;15;handelt;CL-3;Cloze;
3_ABK16;16;dabei;CL-3;Cloze;
3_ABK16;17;Person;CL-3;Cloze;
3_ABK16;18;möglich;CL-3;Cloze;
3_ABK16;19;der;CL-3;Cloze;
3_ABK16;20;diese;CL-3;Cloze;
3_ABK16;21;nachlässig;CL-3;Cloze;
3_ABK16;22;verabsäumt;CL-3;Cloze;
3_ABK16;23;azuschätzen;CL-3;Cloze;
3_ABK16;24;handelt;CL-3;Cloze;
3_ABK16;25;Tat;CL-3;Cloze;
